Name	log2FoldChange
ACVRL1|ENST00000388922.9|7	-0.613113480999501
ACVRL1|ENST00000388922.9|8	0.357426907214668
ACVRL1|ENST00000388922.9|9	0.927435613373755
ACVRL1|ENST00000388922.9|10	0.612960956547227
ACVRL1|ENST00000388922.9|11	1.01323993080261
ACVRL1|ENST00000388922.9|12	1.38276639086101
ACVRL1|ENST00000388922.9|13	1.54463457185381
ACVRL1|ENST00000388922.9|14	1.21077238861271
ACVRL1|ENST00000388922.9|14|mutated	1.22370295655773
ACVRL1|ENST00000388922.9|15	0.634396709163318
ACVRL1|ENST00000388922.9|15|mutated	0.614357348647431
ACVRL1|ENST00000388922.9|16	0.664292915863085
ACVRL1|ENST00000388922.9|17	0.437474932135455
ACVRL1|ENST00000388922.9|18	-0.548896771438437
ADAR|ENST00000368474.9|1	0.398690250298981
ADAR|ENST00000368474.9|2	0.377159109619452
ADAR|ENST00000368474.9|3	0.743065709020741
ADAR|ENST00000368474.9|4	0.989615686342902
ADAR|ENST00000368474.9|5	1.1702314883196
ADAR|ENST00000368474.9|6	1.0185540627219
ADAR|ENST00000368474.9|7	0.175742040116591
ADAR|ENST00000368474.9|8	0.0265225025727569
ADAR|ENST00000368474.9|9	0.857462305454797
ADAR|ENST00000368474.9|10	0.517839196241582
ADAR|ENST00000368474.9|11	0.703017258891954
ADAR|ENST00000368474.9|12	0.953384360463516
ADAR|ENST00000368474.9|13	0.393940544311706
ADAR|ENST00000368474.9|14	1.07594133761809
ADAR|ENST00000368474.9|15	1.10977494202137
ADAR|ENST00000368474.9|16	0.490314578188336
ADAR|ENST00000368474.9|17	0.0699327846907597
ADAR|ENST00000368474.9|18	-0.40658957113308
ADAR|ENST00000368474.9|19	0.933826269910763
ADAR|ENST00000368474.9|20	-1.60663447703662
ADNP|ENST00000621696.5|1	1.16270231113268
ADNP|ENST00000621696.5|2	-0.531522598737093
ADNP|ENST00000621696.5|3	0.242550087567237
ADNP|ENST00000621696.5|4	-1.10052199408648
ADNP|ENST00000621696.5|5	-1.18386484028987
ADNP|ENST00000621696.5|6	-0.294250065460539
ADNP|ENST00000621696.5|7	-5.38079314690587
ADNP|ENST00000621696.5|8	-3.41204630833408
ADNP|ENST00000621696.5|9	-3.04129097672726
ADNP|ENST00000621696.5|10	-3.05154998654697
ADNP|ENST00000621696.5|11	0.0673071618850878
ADNP|ENST00000621696.5|12	0.0002119574065459
ADNP|ENST00000621696.5|13	0.264089017350098
ADNP|ENST00000621696.5|14	0.387704936332804
ADNP|ENST00000621696.5|15	0.118479408680903
ADNP|ENST00000621696.5|16	0.526140949140691
ADNP|ENST00000621696.5|16|mutated	0.950862390226252
ADNP|ENST00000621696.5|17	-5.18627513704762
ADNP|ENST00000621696.5|17|mutated	-4.39269550967772
ADNP|ENST00000621696.5|18	-4.65346064715766
ADNP|ENST00000621696.5|18|mutated	-4.13042999882429
AFF2|ENST00000370460.7|1	0.39184204937425
AFF2|ENST00000370460.7|2	0.184608405017761
AFF2|ENST00000370460.7|3	-0.852769652472544
AFF2|ENST00000370460.7|4	-0.658456430525847
AFF2|ENST00000370460.7|5	-0.0992013215845075
AFF2|ENST00000370460.7|6	0.309743710230756
AFF2|ENST00000370460.7|7	1.45111076659193
AFF2|ENST00000370460.7|8	0.231121349346505
AFF2|ENST00000370460.7|9	-0.602365177962402
AFF2|ENST00000370460.7|10	-0.102734600895661
AFF2|ENST00000370460.7|11	-0.817218275375594
AFF2|ENST00000370460.7|12	0.287185209040676
AFF2|ENST00000370460.7|13	0.0282447282162796
AFF2|ENST00000370460.7|14	-1.30820643286816
AFF2|ENST00000370460.7|15	-2.20031105079013
AFF2|ENST00000370460.7|16	-0.533611259057757
AFF2|ENST00000370460.7|17	0.169631417912335
AFF2|ENST00000370460.7|18	-0.208483756815953
AFF2|ENST00000370460.7|19	0.131633241212626
AFF2|ENST00000370460.7|20	0.605900354536336
AFF2|ENST00000370460.7|21	0.397828580201908
AFF2|ENST00000370460.7|22	1.50268740150472
AFF2|ENST00000370460.7|23	1.20608062676661
AFF2|ENST00000370460.7|24	0.376570797069311
AFF2|ENST00000370460.7|25	0.483953130488063
AFF2|ENST00000370460.7|26	0.768140487346273
AFF2|ENST00000370460.7|27	0.202724102886295
AFF2|ENST00000370460.7|28	0.0515900740195558
AFF2|ENST00000370460.7|29	-1.15693948166312
AFF2|ENST00000370460.7|32	-4.81613285170921
AFF2|ENST00000370460.7|33	-3.84531816338347
AFF2|ENST00000370460.7|34	0.962640078345491
AFF2|ENST00000370460.7|35	0.350982549704573
AFF2|ENST00000370460.7|36	0.194986845556039
AFF2|ENST00000370460.7|37	0.0707934574297071
AFF2|ENST00000370460.7|38	-0.835028169805273
AFF2|ENST00000370460.7|39	-0.767626076222905
AFF2|ENST00000370460.7|40	-0.169660298048632
AFF2|ENST00000370460.7|41	0.957077970301913
AFF2|ENST00000370460.7|42	0.654990726361249
AFF2|ENST00000370460.7|43	-0.423264162389701
AFF2|ENST00000370460.7|44	-1.39888367940079
AFF2|ENST00000370460.7|45	-0.682383098032451
AFF2|ENST00000370460.7|46	1.09163145880274
AFF2|ENST00000370460.7|47	0.34248088557428
AFF2|ENST00000370460.7|48	-1.18664608309548
AFF2|ENST00000370460.7|49	-1.05759452043461
AFF2|ENST00000370460.7|50	-0.0185706312106017
AFF2|ENST00000370460.7|51	0.732822860937161
AFF2|ENST00000370460.7|52	-2.08280322257469
AFF2|ENST00000370460.7|53	-1.80319095016445
AFF2|ENST00000370460.7|54	-0.506024462618554
AFF2|ENST00000370460.7|55	0.147649849007994
AFF2|ENST00000370460.7|56	-0.0846242929450343
AFF2|ENST00000370460.7|57	-1.58913784432007
AFF2|ENST00000370460.7|58	-1.02893923661262
AFF2|ENST00000370460.7|59	-1.10556869616296
AFF2|ENST00000370460.7|60	-0.31538244497274
AFF2|ENST00000370460.7|61	0.0593197556395183
AFF2|ENST00000370460.7|62	0.365182574846536
AFF2|ENST00000370460.7|63	1.00470221885256
AFF2|ENST00000370460.7|64	0.919886572456249
AFF2|ENST00000370460.7|65	0.507730377523945
