"Name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAGAB|ENST00000261880.10|1",2659.24544944646,0.0864270291061647,0.106516708139203,0.811394105356842,0.417139383188009,0.445434513824079
"AAGAB|ENST00000261880.10|2",2489.88593167938,0.511738924561456,0.14311489845136,3.57572083758546,0.000349264199084087,0.000471510604578246
"AAGAB|ENST00000261880.10|3",6038.42616985646,0.867749007640785,0.0725041249848856,11.9682708786801,5.21031483091777e-33,2.02726767373806e-32
"AAGAB|ENST00000261880.10|4",2022.13010970555,0.539307192496913,0.119581943248949,4.50993835561083,6.48464664625365e-06,9.59205665170005e-06
"AAGAB|ENST00000261880.10|5",3272.03275307564,0.430861999566097,0.0927004414637952,4.64789587581816,3.353381015955e-06,5.03616705166616e-06
"AAGAB|ENST00000261880.10|6",3204.80694883686,0.231531394181267,0.0812891817339436,2.8482436314719,0.00439612564430746,0.00555895980776898
"AAGAB|ENST00000261880.10|7",4088.55649877664,0.314732831421995,0.0827173120820662,3.80492092283825,0.000141849500638536,0.000195440715083342
"AAGAB|ENST00000261880.10|8",5321.0244720321,0.166081896350546,0.0759491685550851,2.18675068483586,0.0287607293293755,0.0342532595055093
"AAGAB|ENST00000261880.10|9",3468.90515010127,-0.884154142788097,0.0794743214782812,-11.1250291457942,9.47748943793494e-29,3.21098199848587e-28
"AAGAB|ENST00000261880.10|10",1746.29286278087,0.658289840810152,0.106246677673555,6.19586282813245,5.79665943997166e-10,1.03047900416769e-09
"AAGAB|ENST00000261880.10|11",3245.82739527913,-0.844368847527643,0.103300392897884,-8.17391709596233,2.98534993742677e-16,6.70751917673906e-16
"AAGAB|ENST00000261880.10|12",2686.00207236447,-0.736943054019453,0.127297430950266,-5.78914317844616,7.07463743905245e-09,1.19861627096377e-08
"AAGAB|ENST00000261880.10|13",548.31324983822,-3.29342569508498,0.150276307191935,-21.9158013437112,1.83634106921965e-106,3.81271507959297e-105
"AAGAB|ENST00000261880.10|14",1951.26088974148,-3.60753110697997,0.108168175102352,-33.3511321936088,7.01445690631272e-244,1.23578226084745e-241
"AAGAB|ENST00000261880.10|15",1138.85992281093,-0.103383371078103,0.117236975880702,-0.881832461998201,0.377867414202338,0.405696868494256
"ABCA4|ENST00000370225.4|1",2897.87602555842,0.842116931872925,0.091184879402477,9.2352694590508,2.57636720952989e-20,6.65621720296919e-20
"ABCA4|ENST00000370225.4|2",1322.43566629217,-0.825100788422046,0.102128620339431,-8.07903588318113,6.52808177292585e-16,1.44692728287977e-15
"ABCA7|ENST00000263094.11|1",1939.94638196865,1.20454656690871,0.103038029144538,11.6903106252063,1.42863141955215e-31,5.30862419548225e-31
"ABCC6|ENST00000205557.12|1",8709.54337280827,1.71515914642385,0.11537565222986,14.8658673929469,5.48992114065704e-50,3.50769361413713e-49
"ABCC6|ENST00000205557.12|2",4960.9485498242,0.353181931357972,0.0889273850079273,3.97157671201608,7.13985014352109e-05,0.000100158553535577
"ABCC6|ENST00000205557.12|3",1449.00702133205,-0.711589413099126,0.104092223670314,-6.83614383484502,8.13532650520143e-12,1.56037802645394e-11
"ABCC6|ENST00000205557.12|4",3913.9010792453,-0.787607031933096,0.104731607705549,-7.52024197076625,5.46749573368667e-14,1.13224890042466e-13
"ABCC9|ENST00000261200.9|1",1237.81216453121,-1.11995707544184,0.0951931839237583,-11.7650973449825,5.90581877756354e-32,2.2221014119099e-31
"ABCC9|ENST00000261200.9|2",722.693776352211,0.392981510634882,0.124567040228477,3.15477922501882,0.00160619598609324,0.00208271760075734
"ABCC9|ENST00000261200.9|3",656.079915588364,-1.96164877712864,0.121092179315879,-16.1996322818793,5.0729506243149e-59,4.05971599728073e-58
"ABCC9|ENST00000261200.9|4",518.154600261024,-0.651049314295803,0.152717341125589,-4.26310011356474,2.01610135498602e-05,2.90788517128974e-05
"ABCC9|ENST00000261200.9|5",2519.19417758538,-0.159170676660787,0.107987690003454,-1.4739705669757,0.140489516065954,0.157871156783616
"ABCC9|ENST00000261200.9|6",3321.68215490231,0.528735450952587,0.106203633691067,4.97850622032965,6.40768845422095e-07,9.96548197865337e-07
"ABCC9|ENST00000261200.9|7",5613.08265802597,-0.256046789270194,0.0942206121278884,-2.71752415408482,0.00657723544591651,0.00822154430739564
"ABCC9|ENST00000261200.9|8",498.353092663962,-3.43687159602434,0.160162427817422,-21.4586632012236,3.79045661266873e-102,7.1737235734236e-101
"ABCC9|ENST00000261200.9|9",524.586090688139,-3.03403426410407,0.171750952378353,-17.6653126057802,7.75818369212584e-70,7.94384962663825e-69
"ABCC9|ENST00000261200.9|10",2026.38854327726,-1.97627706578384,0.111620178100596,-17.7053745963632,3.81136415353396e-70,3.93282881648035e-69
"ABCC9|ENST00000261200.9|11",196.813280280149,-1.24232196604264,0.214737665152334,-5.78530070708065,7.23827292540826e-09,1.22564677945429e-08
"ABCC9|ENST00000261200.9|12",1002.5961274144,-0.682596863147626,0.108202951542748,-6.30848653770737,2.81777235654539e-10,5.06784459261579e-10
"ABCC9|ENST00000261200.9|13",2469.82504119049,-1.88934463879415,0.161291512734489,-11.713850324563,1.08249683630863e-31,4.04123156714782e-31
"ABCC9|ENST00000261200.9|14",199.815699265972,-1.46409203304738,0.32316258229223,-4.53051223524211,5.88408467661943e-06,8.73173967866973e-06
"ABCC9|ENST00000261200.9|15",5055.26954235316,0.770460509220091,0.0809037295691161,9.52317666099541,1.67964491245765e-21,4.50361370887256e-21
