"Name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAGAB|ENST00000261880.10|1",1948.96070720328,0.542016797021489,0.243430743212064,2.22657495873195,0.0259756940915866,0.0333774153132639
"AAGAB|ENST00000261880.10|2",2050.56024044738,0.45777755273326,0.255737270042294,1.79003065395026,0.0734489835969211,0.0893548477948526
"AAGAB|ENST00000261880.10|3",4616.95086872154,-0.0367656818613383,0.117903903983534,-0.311827519014746,0.755171608934282,0.779177322553919
"AAGAB|ENST00000261880.10|4",1488.59601115474,0.483779873930767,0.196646196376726,2.46015373215744,0.0138877513381132,0.0184139928901342
"AAGAB|ENST00000261880.10|5",2507.70173940557,0.644685894839115,0.14526998123388,4.43784661747283,9.08633283971109e-06,1.61993165259333e-05
"AAGAB|ENST00000261880.10|6",2971.89465705957,-0.112295627929589,0.147714758933231,-0.76021941707496,0.44712344039306,0.482363308015464
"AAGAB|ENST00000261880.10|7",4557.33448275127,0.547547813249226,0.127732746565391,4.2866674989167,1.81373456366011e-05,3.15650957119401e-05
"AAGAB|ENST00000261880.10|8",11849.8012369669,2.32185688985264,0.169418244138961,13.704881086763,9.49226944215249e-43,8.62586578973144e-42
"AAGAB|ENST00000261880.10|9",2784.43522769997,-1.76821929904988,0.149901957876049,-11.7958385874586,4.10095012501801e-32,2.566200608534e-31
"AAGAB|ENST00000261880.10|10",2047.90390234094,0.139292993056341,0.270205451641883,0.515507707967911,0.606198284735901,0.638560849277211
"AAGAB|ENST00000261880.10|11",2687.23100432319,-0.956646523283112,0.133825825325604,-7.14844478601609,8.7766538044448e-13,2.45258942174138e-12
"AAGAB|ENST00000261880.10|12",1296.38990327887,-0.783782703158095,0.165026750775648,-4.74942819557563,2.0399260920738e-06,3.82889747763171e-06
"AAGAB|ENST00000261880.10|13",218.520587484511,-3.07823468649527,0.281866402960422,-10.9208995969892,9.1584154114191e-28,4.88163513051031e-27
"AAGAB|ENST00000261880.10|14",1181.49622195086,-3.86379541674747,0.172090726108474,-22.4520838752926,1.22111131693474e-111,9.9491498251207e-110
"AAGAB|ENST00000261880.10|15",982.826486869404,-0.113791000668985,0.134871745424112,-0.843697842799933,0.398838273302336,0.434499363229223
"ABCA4|ENST00000370225.4|1",3332.8752459621,0.269026428939684,0.242353505446688,1.11005792321359,0.266974067229644,0.299760795276033
"ABCA4|ENST00000370225.4|2",1047.98889793973,-1.30171606907972,0.147747389537008,-8.81041670623673,1.24681503318501e-18,4.59338777374865e-18
"ABCA7|ENST00000263094.11|1",1915.98987434315,0.883170338311326,0.13917880119646,6.34558086949373,2.21587758369272e-10,5.41513279328457e-10
"ABCC6|ENST00000205557.12|1",17457.5973118125,1.84455183693133,0.390480729846035,4.72379735014998,2.31481089344853e-06,4.32992192266642e-06
"ABCC6|ENST00000205557.12|2",3964.76113399568,0.027385877529452,0.161046105172287,0.170049921419426,0.864970876713821,0.879884167691645
"ABCC6|ENST00000205557.12|3",1075.57623903652,-1.32979600916244,0.149241164960651,-8.91038346901848,5.08563573305957e-19,1.90524426571331e-18
"ABCC6|ENST00000205557.12|4",2925.90475361801,-1.33355494240335,0.165980164678903,-8.03442354080791,9.40198875780604e-16,3.04427194788437e-15
"ABCC9|ENST00000261200.9|1",698.398431282984,-1.09410686172463,0.163934959108181,-6.6740301621854,2.48872432318804e-11,6.42678982725813e-11
"ABCC9|ENST00000261200.9|2",446.433356297424,0.531431983030382,0.196402362225207,2.70583294930542,0.00681333100995105,0.00937214488413733
"ABCC9|ENST00000261200.9|3",703.896145805752,0.682119698496671,0.219963542809832,3.10105797434983,0.00192830532921215,0.00280828221400462
"ABCC9|ENST00000261200.9|4",207.386654324022,-1.69440202726789,0.250875285581653,-6.75396152849185,1.43861911621132e-11,3.7653717558704e-11
"ABCC9|ENST00000261200.9|5",1635.79923502788,-0.667812134086677,0.165472123689931,-4.03579841241448,5.44169252789294e-05,9.08491098502561e-05
"ABCC9|ENST00000261200.9|6",3516.51421270921,0.412066242645675,0.126237435939262,3.26421587684921,0.00109767494930013,0.00163518070494623
"ABCC9|ENST00000261200.9|7",5468.91968320168,0.830876791247599,0.118120066772794,7.03417136434411,2.00448649534289e-12,5.4987940345217e-12
"ABCC9|ENST00000261200.9|8",239.528911691423,-3.09485241221262,0.285561024792884,-10.8377969803733,2.27892776429316e-27,1.19556363701004e-26
"ABCC9|ENST00000261200.9|9",334.103198167986,-3.70511412878218,0.269169076054489,-13.7650066757005,4.13846021553325e-43,3.82751644798778e-42
"ABCC9|ENST00000261200.9|10",948.700284608153,-2.41766269329982,0.157849068874302,-15.316293662936,5.95158343727661e-53,7.64829558243154e-52
"ABCC9|ENST00000261200.9|11",104.681314694842,-1.2505687288718,0.27119215789943,-4.61137496953567,4.00014228252508e-06,7.33236977621715e-06
"ABCC9|ENST00000261200.9|12",632.247429298333,-0.344126892160253,0.172136203087405,-1.99915465769578,0.0455916227893356,0.0569930973956656
"ABCC9|ENST00000261200.9|13",396.746172148319,-2.34261722367912,0.276473360511839,-8.47321137682924,2.38718839684089e-17,8.34784100115719e-17
"ABCC9|ENST00000261200.9|14",62.5707394500402,-3.32451663719004,0.59359399062287,-5.60065750278495,2.13540282122396e-08,4.62406790630977e-08
"ABCC9|ENST00000261200.9|15",5467.01257552475,1.41096030316339,0.170194795204102,8.29026705235802,1.12994483939556e-16,3.8567538733088e-16
"ABCC9|ENST00000261200.9|16",852.895328497,-3.49339342603957,0.176328850154023,-19.8118085780523,2.35472117851207e-87,8.92484036551871e-86
