"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCD1|ENST00000218104.6|6",6194.4706444126,1.97923072992055,0.301326060973581,6.56840209414906,5.08580544064382e-11,1.29243988462956e-10
"ABCD1|ENST00000218104.6|6|mutated",13045.7686622495,2.43478318212552,0.350002190238587,6.95647984507124,3.48880142282337e-12,9.4238553543427e-12
"ABCD1|ENST00000218104.6|7",6973.9329013414,1.2546225839519,0.249557880455064,5.02738114967204,4.97223457747875e-07,9.77872800237488e-07
"ABCD1|ENST00000218104.6|7|mutated",6789.62855423936,1.32014515636914,0.264166588350894,4.99739639524581,5.81095404851738e-07,1.13666171221775e-06
"ACSL4|ENST00000672401.1|3",205.653703828506,-4.0359358631668,0.323217191645719,-12.4867611237419,8.81705122245047e-36,6.26717047426049e-35
"ACSL4|ENST00000672401.1|3|mutated",351.93309845071,-3.78606723135574,0.274190074287981,-13.8081848556606,2.27491775318664e-43,2.13197886775558e-42
"ACSL4|ENST00000672401.1|7",1910.39985329021,1.17169836682461,0.204748044725417,5.72263519486081,1.0488432074437e-08,2.31685634370218e-08
"ACSL4|ENST00000672401.1|8",896.179045481369,-2.47109475101769,0.201791928629667,-12.2457561499038,1.77019497784099e-34,1.21152144283438e-33
"ACSL4|ENST00000672401.1|11",180.18802252037,-1.31952402193187,0.298471886105293,-4.42093236703166,9.82759325167154e-06,1.74844153855125e-05
"ACSL4|ENST00000672401.1|13",7761.6811240892,2.52616529694447,0.165948654693679,15.2225717141694,2.50487678544322e-52,3.15466974334946e-51
"ACSL4|ENST00000672401.1|15",1221.14049827042,-1.89564459395647,0.120729011422997,-15.7016492689956,1.4736058339339e-55,2.04986957874871e-54
"ACSL4|ENST00000672401.1|16",449.84786978003,-1.50187315570106,0.159076811542594,-9.44118216311447,3.68597017362514e-21,1.51499192757407e-20
"ACSL4|ENST00000672401.1|17",551.408044199606,-2.3833329317109,0.192158952135932,-12.4029242729474,2.51957742135886e-35,1.76576821390375e-34
"ACTC1|ENST00000290378.6|1",7979.36283090687,1.39174363859492,0.199078737616083,6.99092055364977,2.73088380603723e-12,7.43190078275571e-12
