"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADNP|ENST00000621696.5|7",1644.7703834469,-5.38079314690587,0.139045187323244,-38.6981617306676,0,0
"ADNP|ENST00000621696.5|8",1569.06331135403,-3.41204630833408,0.124406667386367,-27.4265550232719,1.32306636669783e-165,6.44322563944714e-164
"ADNP|ENST00000621696.5|9",1087.69243428604,-3.04129097672726,0.149726695987308,-20.3122827006418,1.00140386963713e-91,1.58060847934819e-90
"ADNP|ENST00000621696.5|10",533.530536967314,-3.05154998654697,0.189407664393776,-16.1110163958457,2.13485754183299e-58,1.6848216963873e-57
"ADNP|ENST00000621696.5|17",1704.73618486024,-5.18627513704762,0.142815141683451,-36.3146027508973,9.51754791267336e-289,3.25772068553791e-286
"ADNP|ENST00000621696.5|17|mutated",843.752718825767,-4.39269550967772,0.155033733286332,-28.333804627957,1.32530853263933e-176,7.11981893319246e-175
"ADNP|ENST00000621696.5|18",1254.64415550453,-4.65346064715766,0.132375231329358,-35.1535600763527,1.02557892667661e-270,2.61413522161399e-268
"ADNP|ENST00000621696.5|18|mutated",1934.68451802003,-4.13042999882429,0.115461762904707,-35.7731416437252,2.88991148776857e-280,8.05142781941103e-278
"AFF2|ENST00000370460.7|7",3810.56632245185,1.45111076659193,0.120630619255688,12.029373433922,2.49043551801872e-33,9.77889790424917e-33
"AFF2|ENST00000370460.7|14",2596.4092730616,-1.30820643286816,0.100516634610089,-13.0148252370643,1.00772579688814e-38,4.6612181647567e-38
"AFF2|ENST00000370460.7|15",1319.60958535773,-2.20031105079013,0.106413778064784,-20.6769376184595,5.58773168918175e-95,9.32326262345368e-94
"AFF2|ENST00000370460.7|22",6397.26208118191,1.50268740150472,0.0807871792130823,18.6005677651063,3.17922791282137e-77,3.82017556625877e-76
"AFF2|ENST00000370460.7|23",1370.77505054313,1.20608062676661,0.132913209726983,9.07419683298615,1.1451896026463e-19,2.89316141706089e-19
"AFF2|ENST00000370460.7|29",4734.20540752347,-1.15693948166312,0.0976293716870986,-11.8503219028296,2.14365762852435e-32,8.18648976401712e-32
"AFF2|ENST00000370460.7|32",2138.42859780318,-4.81613285170921,0.124029705081836,-38.8304789447939,0,0
"AFF2|ENST00000370460.7|33",1191.53966174878,-3.84531816338347,0.125891649296048,-30.5446642798426,6.65677897804215e-205,5.90727497458852e-203
"AFF2|ENST00000370460.7|44",580.544176767244,-1.39888367940079,0.129542939683141,-10.7986099653322,3.49453761785764e-27,1.13055794388157e-26
"AFF2|ENST00000370460.7|46",3897.04813917279,1.09163145880274,0.0743449054657276,14.6833391200688,8.24292511393495e-49,5.10601048939714e-48
"AFF2|ENST00000370460.7|48",1716.48214431235,-1.18664608309548,0.0940751446315981,-12.613810882167,1.77212250973899e-36,7.71439958818064e-36
"AFF2|ENST00000370460.7|49",2416.0404133795,-1.05759452043461,0.0925468361287,-11.4276680292329,3.04167875792744e-30,1.08000330527477e-29
"AFF2|ENST00000370460.7|52",1592.2413021641,-2.08280322257469,0.097745651590297,-21.3083977515931,9.48872260887588e-101,1.74615816980542e-99
"AFF2|ENST00000370460.7|53",1089.01696071182,-1.80319095016445,0.119076097249925,-15.143181476462,8.40474358487366e-52,5.6439926091248e-51
"AFF2|ENST00000370460.7|57",2594.7687347588,-1.58913784432007,0.0836571293346214,-18.9958447888362,1.84593117825719e-80,2.35508578440055e-79
"AFF2|ENST00000370460.7|58",2970.14406690362,-1.02893923661262,0.0899641253446034,-11.4372171426257,2.72485972315988e-30,9.70098647353798e-30
